Geography,Estimate; Median value (dollars),Year
Louisa,202100,2016
Lunenburg,109200,2016
Madison,241300,2016
Mathews,232000,2016
Mecklenburg,123300,2016
Middlesex,248800,2016
Montgomery,202900,2016
Nelson,231500,2016
New Kent,249100,2016
Northampton,164600,2016
Northumberland,256400,2016
Nottoway,125500,2016
Orange,236100,2016
Page,171300,2016
Patrick,115300,2016
Pittsylvania,114400,2016
Powhatan,254200,2016
Prince Edward,151200,2016
Prince George,205400,2016
Prince William,345900,2016
Pulaski,136700,2016
Rappahannock,362100,2016
Richmond,153300,2016
Roanoke,189800,2016
Rockbridge,193300,2016
Rockingham,200900,2016
Russell,94100,2016
Scott,92200,2016
Shenandoah,200100,2016
Smyth,91100,2016
Southampton,161500,2016
Spotsylvania,252900,2016
Stafford,314800,2016
Surry,166600,2016
Sussex,128300,2016
Tazewell,94400,2016
Warren,223300,2016
Washington,136600,2016
Westmoreland,198300,2016
Wise,86000,2016
Wythe,128200,2016
York,314400,2016
Alexandria city,520700,2016
Bristol city,109100,2016
Buena Vista city,112400,2016
Charlottesville city,280100,2016
Chesapeake city,256500,2016
Colonial Heights city,166800,2016
Covington city,70900,2016
Danville city,90800,2016
Emporia city,122600,2016
Fairfax city,487700,2016
Falls Church city,724000,2016
Franklin city,171700,2016
Fredericksburg city,321500,2016
Galax city,101600,2016
Hampton city,187700,2016
Harrisonburg city,197400,2016
Hopewell city,125400,2016
Lexington city,230500,2016
Lynchburg city,149600,2016
Manassas city,293500,2016
Manassas Park city,257800,2016
Martinsville city,88700,2016
Newport News city,189000,2016
Norfolk city,193100,2016
Norton city,92500,2016
Petersburg city,111300,2016
Poquoson city,301800,2016
Portsmouth city,169400,2016
Radford city,153900,2016
Richmond city,199300,2016
Roanoke city,133000,2016
Salem city,173800,2016
Staunton city,163000,2016
Suffolk city,236600,2016
Virginia Beach city,262200,2016
Waynesboro city,158800,2016
Williamsburg city,319500,2016
Winchester city,218600,2016
Accomack,157200,2017
Albemarle,329600,2017
Alleghany,113600,2017
Amelia,185100,2017
Amherst,151500,2017
Appomattox,151700,2017
Arlington,643300,2017
Augusta,206300,2017
Bath,151100,2017
Bedford,198100,2017
Bland,109300,2017
Botetourt,220000,2017
Brunswick,110900,2017
Buchanan,71900,2017
Buckingham,132500,2017
Campbell,154300,2017
Caroline,193200,2017
Carroll,107300,2017
Charles City,163000,2017
Charlotte,107500,2017
Chesterfield,224200,2017
Clarke,333100,2017
Craig,164800,2017
Culpeper,266400,2017
Cumberland,146600,2017
Dickenson,77500,2017
Dinwiddie,160100,2017
Essex,177200,2017
Fairfax,534800,2017
Fauquier,370000,2017
Floyd,153800,2017
Fluvanna,228100,2017
Franklin,176900,2017
Frederick,239100,2017
Giles,114500,2017
Gloucester,224100,2017
Goochland,327700,2017
Grayson,95700,2017
Greene,242500,2017
Greensville,89400,2017
Halifax,110800,2017
Hanover,267600,2017
Henrico,223900,2017
Henry,94300,2017
Highland,184000,2017
Isle of Wight,249100,2017
James City,328700,2017
King and Queen,170000,2017
King George,294300,2017
King William,199700,2017
Lancaster,226900,2017
Lee,81700,2017
Loudoun,475500,2017
Louisa,212900,2017
Lunenburg,108400,2017
Madison,256500,2017
Mathews,227200,2017
Mecklenburg,125300,2017
Middlesex,248400,2017
Montgomery,213300,2017
Nelson,231400,2017
New Kent,256600,2017
Northampton,165800,2017
Northumberland,277900,2017
Nottoway,134800,2017
Orange,235200,2017
Page,172200,2017
Patrick,116000,2017
Pittsylvania,113800,2017
Powhatan,264300,2017
Prince Edward,154800,2017
Prince George,212100,2017
Prince William,358300,2017
Pulaski,139600,2017
Rappahannock,358600,2017
Richmond,163200,2017
Roanoke,192100,2017
Rockbridge,197200,2017
Rockingham,206700,2017
Russell,94900,2017
Scott,90500,2017
Shenandoah,204000,2017
Smyth,89600,2017
Southampton,172800,2017
Spotsylvania,265600,2017
Stafford,327600,2017
Surry,172700,2017
Sussex,121600,2017
Tazewell,96500,2017
Warren,231000,2017
Washington,137200,2017
Westmoreland,203100,2017
Wise,84500,2017
Wythe,127400,2017
York,315400,2017
Alexandria city,537900,2017
Bristol city,114100,2017
Buena Vista city,111700,2017
Charlottesville city,277800,2017
Chesapeake city,260900,2017
Colonial Heights city,163300,2017
Covington city,72200,2017
Danville city,90900,2017
Emporia city,115700,2017
Fairfax city,501900,2017
Falls Church city,742000,2017
Franklin city,186100,2017
Fredericksburg city,341200,2017
Galax city,105500,2017
Hampton city,186600,2017
Harrisonburg city,196200,2017
Hopewell city,122400,2017
Lexington city,252500,2017
Lynchburg city,153800,2017
Manassas city,307000,2017
Manassas Park city,263300,2017
Martinsville city,90100,2017
